name,category,calories,protein,fat,carbs
"Рис белый, сухой продукт",Крупы и бобовые,344,6.7,0.7,78.9
"Рис белый, варёный",Крупы и бобовые,117.0,2.3,0.3,26.0
"Рис белый, готовый без масла",Крупы и бобовые,123.8,2.4,0.3,27.6
"Рис бурый, сухой продукт",Крупы и бобовые,337,7.4,1.8,72.9
"Рис бурый, варёный",Крупы и бобовые,114.6,2.6,0.8,24.1
"Рис бурый, готовый без масла",Крупы и бобовые,121.3,2.7,0.9,25.5
"Гречка, сухой продукт",Крупы и бобовые,343,13.3,3.4,71.5
"Гречка, варёный",Крупы и бобовые,116.6,4.7,1.5,23.6
"Гречка, готовый без масла",Крупы и бобовые,123.5,4.8,1.7,25.0
"Овсяные хлопья, сухой продукт",Крупы и бобовые,366,11.9,7.2,69.3
"Овсяные хлопья, варёный",Крупы и бобовые,124.4,4.2,3.2,22.9
"Овсяные хлопья, готовый без масла",Крупы и бобовые,131.8,4.3,3.6,24.3
"Перловая крупа, сухой продукт",Крупы и бобовые,315,9.3,1.1,66.9
"Перловая крупа, варёный",Крупы и бобовые,107.1,3.3,0.5,22.1
"Перловая крупа, готовый без масла",Крупы и бобовые,113.4,3.3,0.6,23.4
"Пшено, сухой продукт",Крупы и бобовые,348,11.5,3.3,69.3
"Пшено, варёный",Крупы и бобовые,118.3,4.0,1.5,22.9
"Пшено, готовый без масла",Крупы и бобовые,125.3,4.1,1.6,24.3
"Булгур, сухой продукт",Крупы и бобовые,342,12.3,1.3,63.4
"Булгур, варёный",Крупы и бобовые,116.3,4.3,0.6,20.9
"Булгур, готовый без масла",Крупы и бобовые,123.1,4.4,0.7,22.2
"Кускус, сухой продукт",Крупы и бобовые,376,12.8,0.6,77.4
"Кускус, варёный",Крупы и бобовые,127.8,4.5,0.3,25.5
"Кускус, готовый без масла",Крупы и бобовые,135.4,4.6,0.3,27.1
"Киноа, сухой продукт",Крупы и бобовые,368,14.1,6.1,64.2
"Киноа, варёный",Крупы и бобовые,125.1,4.9,2.7,21.2
"Киноа, готовый без масла",Крупы и бобовые,132.5,5.1,3.0,22.5
"Макароны пшеничные, сухой продукт",Крупы и бобовые,350,12.0,1.5,72.0
"Макароны пшеничные, варёный",Крупы и бобовые,119.0,4.2,0.7,23.8
"Макароны пшеничные, готовый без масла",Крупы и бобовые,126.0,4.3,0.8,25.2
"Спагетти, сухой продукт",Крупы и бобовые,351,12.5,1.2,72.2
"Спагетти, варёный",Крупы и бобовые,119.3,4.4,0.5,23.8
"Спагетти, готовый без масла",Крупы и бобовые,126.4,4.5,0.6,25.3
"Лапша яичная, сухой продукт",Крупы и бобовые,384,14.2,4.4,71.3
"Лапша яичная, варёный",Крупы и бобовые,130.6,5.0,2.0,23.5
"Лапша яичная, готовый без масла",Крупы и бобовые,138.2,5.1,2.2,25.0
"Фунчоза, сухой продукт",Крупы и бобовые,320,0.7,0.5,79.0
"Фунчоза, варёный",Крупы и бобовые,108.8,0.2,0.2,26.1
"Фунчоза, готовый без масла",Крупы и бобовые,115.2,0.3,0.2,27.6
"Чечевица красная, сухой продукт",Крупы и бобовые,314,21.6,1.1,48.0
"Чечевица красная, варёный",Крупы и бобовые,106.8,7.6,0.5,15.8
"Чечевица красная, готовый без масла",Крупы и бобовые,113.0,7.8,0.6,16.8
"Чечевица зелёная, сухой продукт",Крупы и бобовые,295,24.0,1.5,46.3
"Чечевица зелёная, варёный",Крупы и бобовые,100.3,8.4,0.7,15.3
"Чечевица зелёная, готовый без масла",Крупы и бобовые,106.2,8.6,0.8,16.2
"Нут, сухой продукт",Крупы и бобовые,364,19.3,6.0,61.0
"Нут, варёный",Крупы и бобовые,123.8,6.8,2.7,20.1
"Нут, готовый без масла",Крупы и бобовые,131.0,6.9,3.0,21.3
"Фасоль белая, сухой продукт",Крупы и бобовые,333,23.4,0.9,60.3
"Фасоль белая, варёный",Крупы и бобовые,113.2,8.2,0.4,19.9
"Фасоль белая, готовый без масла",Крупы и бобовые,119.9,8.4,0.5,21.1
"Фасоль красная, сухой продукт",Крупы и бобовые,337,22.5,1.1,61.3
"Фасоль красная, варёный",Крупы и бобовые,114.6,7.9,0.5,20.2
"Фасоль красная, готовый без масла",Крупы и бобовые,121.3,8.1,0.6,21.5
"Горох колотый, сухой продукт",Крупы и бобовые,298,20.5,2.0,49.5
"Горох колотый, варёный",Крупы и бобовые,101.3,7.2,0.9,16.3
"Горох колотый, готовый без масла",Крупы и бобовые,107.3,7.4,1.0,17.3
"Манная крупа, сухой продукт",Крупы и бобовые,333,10.3,1.0,70.6
